Smiles,activity,type
COc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NCc2ccco2)c2ccc(C)o2)cc1,1,SARS-CoV
Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,1,SARS-CoV
Cc1ccc2[nH]c(=O)c(CN(CCc3ccccc3)Cc3nnnn3CC3CCCO3)cc2c1,1,SARS-CoV
Cc1ccc(CN(C(=O)Cn2nnc3ccccc32)C(C(=O)NCc2ccco2)c2cccs2)cc1,1,SARS-CoV
CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,1,SARS-CoV
O=C(Cn1nnc(-c2ccccc2NC(=O)c2ccccc2F)n1)NCc1ccco1,1,SARS-CoV
COc1ccccc1N(C(=O)Cn1nnc2ccccc21)C(C(=O)NCc1ccco1)c1ccc(C)o1,1,SARS-CoV
COCCNC(=O)C(c1cccc(OC)c1)N(Cc1cccs1)C(=O)Cn1nnc2ccccc21,1,SARS-CoV
CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,1,SARS-CoV
O=C(NCc1ccco1)C(c1ccco1)N(C(=O)Cn1nnc2ccccc21)c1ccc2c(c1)CCC2,1,SARS-CoV
O=C(Oc1ccc2cccc(OC(=O)N3CCOCC3)c2c1)N1CCOCC1,1,SARS-CoV
CC(C)NC(=O)CN1CCN(c2ncccn2)CC1,1,SARS-CoV
COCCNC(=O)C(c1ccccc1)N(Cc1cccs1)C(=O)Cn1nnc2ccccc21,1,SARS-CoV
Cc1ccc(C(=O)CSc2nnc(CNc3ccc(C)cc3C)n2Cc2ccco2)cc1,1,SARS-CoV
O=C(NCc1ccco1)C(c1cccs1)N(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,1,SARS-CoV
O=C(NCc1ccco1)C(c1ccco1)N(CCc1ccccc1)C(=O)Cn1nnc2ccccc21,1,SARS-CoV
CC(C)(C)OC(=O)NCCC(=O)Oc1ccc2ccc(=O)oc2c1,1,SARS-CoV
O=C(CN1CCSCC1)N1CCc2[nH]c3ccc(Br)cc3c2C1,1,SARS-CoV
O=C(Oc1cccnc1)c1ccc(Cl)cc1,1,SARS-CoV
Cc1cccc(N2C(N)=C(C#N)C(C#N)(C#N)C2c2ccccc2)c1,1,SARS-CoV
CCc1cccc(CC)c1N(COC)C(=O)Cn1nnc2ccccc21,1,SARS-CoV
C=C(C)COc1ccc(-c2n[nH]c(C)c2-c2ccccc2)c(O)c1,1,SARS-CoV
CCn1c(COc2ccccc2)nnc1SCC(=O)C(C)(C)C,1,SARS-CoV
O=C1c2[nH]nc(-c3ccccc3O)c2C(c2ccccc2F)N1Cc1ccco1,1,SARS-CoV
Cc1cc(NC(=O)COC(=O)C(Nc2ccc(C(F)(F)F)cc2Cl)C(C)C)no1,1,SARS-CoV
O=C(c1c(Cl)nc2sccn12)N1CCN(c2cccc(Cl)c2)CC1,1,SARS-CoV
COc1ccc(C(=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,1,SARS-CoV
COc1ccc2cc(C3(C)NC(=O)N(CC(=O)NCc4ccco4)C3=O)ccc2c1,1,SARS-CoV
COc1ccc(NS(=O)(=O)c2ccc3oc(Nc4ccc5c(c4)OCCO5)nc3c2)cc1,1,SARS-CoV
Cn1cnc2cc(OC(=O)c3ccccc3)ccc21,1,SARS-CoV
COc1ccc(-c2n[nH]c(C(F)(F)F)c2-c2cc3ccccc3o2)c(O)c1,1,SARS-CoV
Cc1ccc(C(=O)Oc2ccc3c(c2)ncn3C)cc1,1,SARS-CoV
NC(=O)c1cc(-c2ccccc2)sc1NC(=O)Cc1ccc(S(=O)(=O)N2CCOCC2)s1,1,SARS-CoV
Cc1ccc(CN2C(=O)CSc3ccc(C(=O)NCCN4CCOCC4)cc32)cc1,1,SARS-CoV
COc1ccc(-c2cc(N)n(S(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)n2)cc1OC,1,SARS-CoV
CC(=O)c1cc(-c2ccccc2)[nH]c1N1CCOCC1,1,SARS-CoV
Cc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc3c(c2)OCO3)cc1,1,SARS-CoV
CC1Cc2ccccc2N1C(=O)C1CCCN(S(=O)(=O)c2cccc3nsnc23)C1,1,SARS-CoV
CCCCCn1c(CN2CCN(Cc3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,1,SARS-CoV
CC(C)(C)C1CCc2onc(C(=O)Nc3cccnc3)c2C1,1,SARS-CoV
COC(=O)c1cc2sccc2n1CC(=O)Nc1ccc(OC)c(OC)c1OC,1,SARS-CoV
O=C(Oc1ccc(Cl)cc1N1C(=O)CCC1=O)c1ccco1,1,SARS-CoV
CCCn1nnc(NC(=O)COc2ccc(C3CCCCC3)cc2)n1,1,SARS-CoV
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c1C,1,SARS-CoV
O=C1CC(N2CCN(C/C=C/c3ccccc3)CC2)C(=O)N1Cc1cccs1,1,SARS-CoV
CC(=O)c1cc(-c2ccccc2)[nH]c1N1CCCC1,1,SARS-CoV
CCOC(=O)c1cc(-c2ccccc2)sc1N,1,SARS-CoV
CN(C)c1nc(N)nc(-c2nc3ccccc3s2)n1,1,SARS-CoV
CC1(C)Cc2c(sc3nc(-c4cc5ccccc5o4)n(N)c(=O)c23)CO1,1,SARS-CoV
Cn1cnc2cc(NC(=O)c3ccc(Cl)cc3)ccc21,1,SARS-CoV
NC(=O)CN1C(=O)C(O)(CC(=O)c2ccccc2O)c2ccccc21,1,SARS-CoV
CC(=O)c1c(OC(=O)c2ccco2)c2ccccc2n1C,1,SARS-CoV
Cc1nnc(SC(=O)N2c3ccccc3Sc3ccccc32)s1,1,SARS-CoV
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,1,SARS-CoV
COc1ccc(Nc2oc(COc3ccc(C)cc3)nc2C#N)cc1,1,SARS-CoV
